ds,y,yhat,yhat_lower,yhat_upper,effect
2019-01-01,149608,144666.10268109912,131889.78602194658,157620.2743369076,4941.897318900883
2019-02-01,146408,142787.5478623908,130203.23133958397,156052.56694513952,3620.452137609187
2019-03-01,161134,165211.77710516757,152248.8855494546,177374.44775318436,-4077.7771051675663
2019-04-01,153545,153204.17119330942,139909.17410700134,166317.8155159508,340.8288066905807
2019-05-01,151374,154257.3743968288,140278.40597516246,167014.55891971866,-2883.374396828789
2019-06-01,135926,145235.14481676056,132462.07758177398,158882.1161948285,-9309.144816760556
2019-07-01,151044,155464.36268258982,142535.59840240385,169716.33170091978,-4420.3626825898245
2019-08-01,137156,147913.24381978592,134876.86063427798,160222.35205817924,-10757.243819785916
2019-09-01,136917,143129.84489638422,131264.02335442472,155617.5012762949,-6212.844896384224
2019-10-01,152696,153170.73839667157,140444.0351093894,167005.6155494059,-474.73839667157154
2019-11-01,148320,146353.77169739862,133628.51457642263,160139.7395534403,1966.2283026013756
2019-12-01,132604,130279.49074520101,117062.6946400131,142710.48463003436,2324.5092547989916
2020-01-01,146711,148601.1917021848,135658.27434561687,162488.98216737798,-1890.1917021847912
2020-02-01,145169,149805.7113297731,137946.76366161343,163502.27351929955,-4636.7113297730975
2020-03-01,156018,152789.72727063706,140280.96752832513,167212.35010428008,3228.272729362943
2020-04-01,182986,165709.45904660306,152512.880578948,177656.318413217,17276.540953396936
2020-05-01,186547,167695.60786694923,154599.26954616472,181149.58215047632,18851.392133050773
2020-06-01,171970,159445.55246508782,146685.041542082,172729.77115944924,12524.447534912179
2020-07-01,166088,152165.01512203316,139276.6249232199,164937.29212424636,13922.98487796684
2020-08-01,148410,145092.08882306673,131053.00163613542,158364.1551220041,3317.9111769332667
2020-09-01,141852,141908.8594569295,128739.99743048534,154575.2391472315,-56.85945692949463
2020-10-01,141871,141600.82702530516,129001.9036810736,154082.34893009113,270.1729746948404
2020-11-01,135017,138815.38222668844,125562.7528707458,152056.9033617909,-3798.382226688438
2020-12-01,133970,137914.6208839938,124788.17789478198,151056.71483081274,-3944.6208839938045
2021-01-01,139934,143104.77521105364,130947.54433183542,156534.73632667464,-3170.7752110536385
2021-02-01,131756,132751.16232972723,119877.73550675003,146086.86472873655,-995.1623297272308
2021-03-01,148842,143769.9471435755,131115.41716960762,156628.33961619987,5072.052856424503
2021-04-01,135952,146113.3491647019,132436.031506725,158298.13254303078,-10161.349164701911
2021-05-01,133880,145406.49672078755,131759.76093929994,158205.0510147669,-11526.496720787545
2021-06-01,129081,134458.0317645955,122198.8513536877,148060.50423789636,-5377.031764595507
