year,month,question_count,date,category
2019,1,149608,2019-01-01,pre-ChatGPT
2019,2,146408,2019-02-01,pre-ChatGPT
2019,3,161134,2019-03-01,pre-ChatGPT
2019,4,153545,2019-04-01,pre-ChatGPT
2019,5,151374,2019-05-01,pre-ChatGPT
2019,6,135926,2019-06-01,pre-ChatGPT
2019,7,151044,2019-07-01,pre-ChatGPT
2019,8,137156,2019-08-01,pre-ChatGPT
2019,9,136917,2019-09-01,pre-ChatGPT
2019,10,152696,2019-10-01,pre-ChatGPT
2019,11,148320,2019-11-01,pre-ChatGPT
2019,12,132604,2019-12-01,pre-ChatGPT
2020,1,146711,2020-01-01,pre-ChatGPT
2020,2,145169,2020-02-01,pre-ChatGPT
2020,3,156018,2020-03-01,pre-ChatGPT
2020,4,182986,2020-04-01,pre-ChatGPT
2020,5,186547,2020-05-01,pre-ChatGPT
2020,6,171970,2020-06-01,pre-ChatGPT
2020,7,166088,2020-07-01,pre-ChatGPT
2020,8,148410,2020-08-01,pre-ChatGPT
2020,9,141852,2020-09-01,pre-ChatGPT
2020,10,141871,2020-10-01,pre-ChatGPT
2020,11,135017,2020-11-01,pre-ChatGPT
2020,12,133970,2020-12-01,pre-ChatGPT
2021,1,139934,2021-01-01,pre-ChatGPT
2021,2,131756,2021-02-01,pre-ChatGPT
2021,3,148842,2021-03-01,pre-ChatGPT
2021,4,135952,2021-04-01,pre-ChatGPT
2021,5,133880,2021-05-01,pre-ChatGPT
2021,6,129081,2021-06-01,pre-ChatGPT
2021,7,124099,2021-07-01,pre-ChatGPT
2021,8,122253,2021-08-01,pre-ChatGPT
2021,9,119861,2021-09-01,pre-ChatGPT
2021,10,118979,2021-10-01,pre-ChatGPT
2021,11,119228,2021-11-01,pre-ChatGPT
2021,12,112257,2021-12-01,pre-ChatGPT
2022,1,119430,2022-01-01,pre-ChatGPT
2022,2,114091,2022-02-01,pre-ChatGPT
2022,3,123576,2022-03-01,pre-ChatGPT
2022,4,114392,2022-04-01,pre-ChatGPT
2022,5,116316,2022-05-01,pre-ChatGPT
2022,6,111718,2022-06-01,pre-ChatGPT
2022,7,111030,2022-07-01,pre-ChatGPT
2022,8,113014,2022-08-01,pre-ChatGPT
2022,9,103929,2022-09-01,pre-ChatGPT
2022,10,106327,2022-10-01,pre-ChatGPT
2022,11,109691,2022-11-01,post-ChatGPT
2022,12,96706,2022-12-01,post-ChatGPT
2023,1,97149,2023-01-01,post-ChatGPT
2023,2,85939,2023-02-01,post-ChatGPT
2023,3,87478,2023-03-01,post-ChatGPT
2023,4,68721,2023-04-01,post-ChatGPT
2023,5,66730,2023-05-01,post-ChatGPT
2023,6,63823,2023-06-01,post-ChatGPT
2023,7,62905,2023-07-01,post-ChatGPT
2023,8,60271,2023-08-01,post-ChatGPT
2023,9,52993,2023-09-01,post-ChatGPT
2023,10,52657,2023-10-01,post-ChatGPT
2023,11,50506,2023-11-01,post-ChatGPT
2023,12,42514,2023-12-01,post-ChatGPT
2024,1,47751,2024-01-01,post-ChatGPT
2024,2,46149,2024-02-01,post-ChatGPT
2024,3,44969,2024-03-01,post-ChatGPT
2024,4,42631,2024-04-01,post-ChatGPT
2024,5,40323,2024-05-01,post-ChatGPT
2024,6,32183,2024-06-01,post-ChatGPT
2024,7,31604,2024-07-01,post-ChatGPT
2024,8,28025,2024-08-01,post-ChatGPT
2024,9,24848,2024-09-01,post-ChatGPT
2024,10,23256,2024-10-01,post-ChatGPT
2024,11,20872,2024-11-01,post-ChatGPT
2024,12,17995,2024-12-01,post-ChatGPT
2025,1,18267,2025-01-01,post-ChatGPT
2025,2,17556,2025-02-01,post-ChatGPT
2025,3,18897,2025-03-01,post-ChatGPT
2025,4,13994,2025-04-01,post-ChatGPT
2025,5,11594,2025-05-01,post-ChatGPT
2025,6,9228,2025-06-01,post-ChatGPT
2025,7,7783,2025-07-01,post-ChatGPT
2025,8,5863,2025-08-01,post-ChatGPT
2025,9,6093,2025-09-01,post-ChatGPT
2025,10,5378,2025-10-01,post-ChatGPT
2025,11,4311,2025-11-01,post-ChatGPT
2025,12,3374,2025-12-01,post-ChatGPT
2026,1,3186,2026-01-01,post-ChatGPT
2026,2,1894,2026-02-01,post-ChatGPT
